number,law,method,stage,object,customer,price_rub,posted,region
0865200000326000815,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка канцелярской продукции,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ТОМСКОЙ ОБЛАСТИ""",502416.84,23.06.2026,Томской
0372200121326000103,44-ФЗ,Запрос котировок в электронной форме,Подача заявок,Поставка сантехнического оборудован ия для оснащения комплекса производственных помещений учебн ого полигона в 2026 году,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ КУЛИНАРНОГО МАСТЕРСТВА""",192995.33,07.07.2026,Санкт-Петербург
0372200171126000053,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка оборудован ия для обеспечения учебн ого процесса по специальности «Технология индустрии красоты» и «Технология парикмахерского искусства» СПб ГБ ПОУ ""Охтинский колледж"" в 2026 году (Весы электронные)","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОХТИНСКИЙ КОЛЛЕДЖ""",10000.0,29.06.2026,Санкт-Петербург
32616184136,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,"Поставка учебн ого оборудован ия для лаборатории ""Обработка металлов давлением"" ГАПОУ СО ""ВСАМК им. А.А. Евстигнеева""","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ВЕРХНЕСАЛДИНСКИЙ АВИАМЕТАЛЛУРГИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ А.А.ЕВСТИГНЕЕВА""",1252290.0,07.07.2026,Свердловской
0819600006026000176,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия по учебн ому предмету ""Музыка""","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",55550.0,26.06.2026,Не определён
32616177451,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,Приобретение учебн ого оборудован ия для направления в филиал  МАОУ «Кутарбитская СОШ» - Тахтагульская НОШ»,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КУТАРБИТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",3164964.85,03.07.2026,Не определён
0819600006026000177,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия по учебн ому предмету ""ИЗО"" (гипсовые модели)","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",54208.67,26.06.2026,Не определён
0152200004726000514,44-ФЗ,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства в соответствии с п. 8 ч. 1 ст. 33 Закона №",Определение поставщика завершено,"Выполнение работ по капитальному ремонту здания учебн ого корпуса, расположенного по адресу: г.Омск, ул. Добролюбова д.15 Литера Б (ремонт электро оборудован ия и электроосвещения) (Реестровый номер 26.33.0556)",ГЛАВНОЕ УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ ОМСКОЙ ОБЛАСТИ,523941.3,26.06.2026,Омской
0152200004726000515,44-ФЗ,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства в соответствии с п. 8 ч. 1 ст. 33 Закона №",Определение поставщика завершено,"Выполнение работ по капитальному ремонту здания учебн ого корпуса, расположенного по адресу: г.Омск, ул. Добролюбова д.15 Литера Б1 (ремонт электро оборудован ия и электроосвещения) (Реестровый номер 26.33.0557)",ГЛАВНОЕ УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ ОМСКОЙ ОБЛАСТИ,532361.99,26.06.2026,Омской
0133200001726001798,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн ого оборудован ия «Лаборатория гидравлики и теплотехники» в рамках федерального проекта «Профессионалитет».,ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ,11697497.66,18.06.2026,Ивановской
