number,nmck,final_price,drop_pct,winner_id,has_result
0346200005626000003,621001.46,319815.49,48.5,80,1
0865200000326000815,502416.84,200966.04,60.0,121560317,1
0372200171126000053,10000.0,8900.0,11.0,21,1
0819600006026000176,55550.0,55272.25,0.5,121550880,1
0711200027326000005,11100415.75,10489892.87,5.5,2400574,1
0152200004726000514,523941.3,521321.59,0.5,13,1
0819600006026000177,54208.67,48245.57,11.0,121572717,1
0711200027426000019,3073413.34,2305059.84,25.0,2400376,1
0152200004726000515,532361.99,529700.18,0.5,62,1
0310200000326002378,394576.32,252528.86,36.0,2,1
0816500000626010855,1009089.0,707795.0,29.86,3387508,1
0119200000126011354,225104.34,199217.15,11.5,10,1
0344100003426000111,1116624.62,647642.39,42.0,2398099,1
0348200087026000003,1000000.0,995000.0,0.5,121553925,1
0352100007826000102,1350000.0,634500.0,53.0,121587808,1
0360300298226000065,229320.0,123832.13,46.0,43,1
0360300298226000064,311220.0,158722.2,49.0,13,1
0744200000226005292,2470944.25,1668520.0,32.47,96,1
0360300298226000066,327600.0,168714.0,48.5,13,1
0344100003426000103,3315366.36,3298789.53,0.5,2394841,1
0348200048026000020,692230.27,546843.91,21.0,121499324,1
0168300013026000341,449273.72,318984.26,29.0,121539986,1
0744200000226005060,3229807.6,2832541.27,12.3,96,1
0133200001726001770,3675222.05,3656845.93,0.5,121521371,1
0344100003426000101,3096541.15,3081058.44,0.5,2394803,1
0372200121326000092,812211.32,752825.4,7.31,3374377,1
0373100017026000030,3888850.0,1606092.25,58.7,121502272,1
0344100003426000098,1425892.24,648781.1,54.5,2395668,1
0190200000326007206,2995000.0,1976700.0,34.0,121475624,1
0344100003426000095,704984.7,623911.54,11.5,2393589,1
0168300008826000034,243960.0,137837.4,43.5,34,1
0852500000126002424,16585242.35,13268193.55,20.0,121511528,1
0365100014826000353,122333.33,89460.0,26.87,121525608,1
0744200000226005237,3392928.23,2769189.55,18.38,205,1
0843500000226003516,856939.54,625565.74,27.0,16,1
0846600001226000067,668933.36,638831.33,4.5,226,1
0335200014926002221,4442557.0,3665109.35,17.5,121510352,1
0361200015026002647,1608013.24,1591933.1,1.0,3338109,1
0372200177726000062,784000.0,780080.0,0.5,3357441,1
0172200004726000156,7518267.2,7480675.86,0.5,3348351,1
0105500000226001112,7977900.0,5185635.0,35.0,5,1
0344100003426000093,545000.0,542275.0,0.5,2393474,1
0168300013026000328,38186.09,28830.03,24.5,121488785,1
0387500000326000030,1384400.0,1349790.0,2.5,121472266,1
0142200001326013094,6423369.0,4216462.0,34.36,3351206,1
0332100022726000597,11100000.0,10489500.0,5.5,93,1
0819600006026000159,70678.67,67851.47,4.0,121480452,1
0119200000126010528,1031343.21,422850.37,59.0,6,1
0372200268226000017,96950.0,52184.0,46.17,2,1
0372200023626000002,1035652.0,1030473.74,0.5,3339484,1
0360300298226000060,4699488.44,4675990.99,0.5,11,1
0851200000626003986,12925000.0,12795750.0,1.0,132,1
0145200000426000903,1525310.0,975831.15,36.02,121463185,1
0883500080926000002,730389.33,155000.0,78.78,3340853,1
0177200000926001813,61165.7,32111.93,47.5,237,1
0360300298226000059,4978245.3,4953354.07,0.5,62,1
0372200037026000102,1625000.0,1208000.0,25.66,121431094,1
0168300013026000313,65660.0,42022.4,36.0,121470560,1
0334100003326000022,695333.33,691856.33,0.5,121470358,1
0372200124226000030,2046103.03,1434318.2,29.9,121470969,1
0307300001226000098,5998400.0,3808982.77,36.5,190,1
0372200121326000091,437507.02,271800.0,37.88,3333430,1
0372200245126000028,267448.99,140165.89,47.59,47,1
0372200121326000090,1099257.6,848000.0,22.86,3341515,1
0372200121326000089,1502430.2,1168800.0,22.21,3339560,1
0339100008826000020,4513333.33,4084566.6,9.5,121438161,1
0828300019826000111,2666596.2,2093278.06,21.5,242,1
0744200000226004742,1236060.0,879504.25,28.85,9,1
0134300021626000037,1230000.0,547350.0,55.5,76,1
